iter	Passed	Remaining
431	1666	9905
432	1669	9899
433	1673	9894
434	1677	9889
435	1680	9884
436	1684	9879
437	1688	9874
438	1691	9868
439	1695	9864
440	1699	9860
441	1703	9857
442	1707	9854
443	1711	9851
444	1715	9847
445	1719	9844
446	1723	9844
447	1728	9843
448	1732	9840
449	1736	9837
450	1740	9834
451	1743	9831
452	1747	9827
453	1751	9824
454	1755	9821
455	1759	9817
456	1763	9812
457	1767	9808
458	1770	9802
459	1774	9798
460	1778	9793
461	1781	9788
462	1785	9784
463	1789	9779
464	1792	9774
465	1796	9768
466	1800	9763
467	1803	9758
468	1807	9752
469	1810	9747
470	1814	9743
471	1818	9740
472	1822	9734
473	1825	9730
474	1829	9725
475	1833	9719
476	1836	9714
477	1840	9709
478	1843	9703
479	1847	9698
480	1850	9692
481	1854	9687
482	1858	9683
483	1862	9679
484	1866	9678
485	1870	9673
486	1873	9669
487	1877	9664
488	1881	9659
489	1884	9654
490	1888	9649
491	1892	9644
492	1896	9641
493	1899	9637
494	1903	9632
495	1907	9627
496	1910	9623
497	1914	9618
498	1918	9613
499	1921	9608
500	1927	9612
501	1931	9609
502	1934	9605
503	1938	9600
504	1942	9595
505	1945	9591
506	1949	9586
507	1953	9581
508	1957	9580
509	1961	9576
510	1965	9571
511	1968	9565
512	1972	9561
513	1976	9557
514	1979	9552
515	1983	9546
516	1987	9544
517	1990	9539
518	1994	9534
519	1998	9530
520	2001	9525
521	2005	9520
522	2009	9515
523	2012	9511
524	2016	9506
525	2019	9500
526	2023	9495
527	2027	9490
528	2030	9485
529	2034	9480
530	2037	9475
531	2041	9470
532	2045	9466
533	2048	9460
534	2052	9454
535	2055	9449
536	2058	9443
537	2062	9438
538	2066	9433
539	2069	9427
540	2073	9422
541	2076	9417
542	2080	9413
543	2083	9408
544	2087	9403
545	2091	9398
546	2094	9393
547	2098	9388
548	2101	9383
549	2105	9377
550	2108	9371
551	2111	9366
552	2115	9360
553	2118	9354
554	2122	9349
555	2125	9343
556	2129	9338
557	2132	9332
558	2135	9326
559	2139	9322
560	2143	9318
561	2147	9314
562	2150	9309
563	2154	9305
564	2158	9300
565	2161	9295
566	2164	9289
567	2168	9283
568	2171	9277
569	2175	9272
570	2178	9267
571	2181	9261
572	2185	9256
573	2188	9250
574	2192	9245
575	2195	9240
576	2199	9234
577	2202	9228
578	2205	9223
579	2209	9217
580	2212	9211
581	2215	9206
582	2219	9200
583	2222	9195
584	2226	9190
585	2229	9184
586	2233	9180
587	2236	9174
588	2239	9168
589	2243	9163
590	2246	9157
591	2250	9152
592	2253	9146
593	2256	9140
594	2260	9135
595	2263	9129
596	2266	9124
597	2270	9118
598	2273	9113
599	2277	9108
600	2280	9103
601	2284	9098
602	2287	9094
603	2291	9090
604	2295	9085
605	2298	9080
606	2301	9075
607	2305	9069
608	2308	9064
609	2312	9058
610	2315	9053
611	2318	9048
612	2322	9043
613	2325	9037
614	2329	9032
615	2332	9028
616	2336	9023
617	2339	9018
618	2343	9012
619	2346	9008
620	2350	9003
621	2353	8997
622	2356	8992
623	2360	8987
624	2363	8982
625	2367	8977
626	2371	8973
627	2374	8969
628	2378	8966
629	2382	8962
630	2387	8962
631	2391	8959
632	2394	8955
633	2398	8950
634	2402	8946
635	2406	8943
636	2409	8939
637	2413	8935
638	2417	8931
639	2421	8928
640	2425	8924
641	2428	8921
642	2432	8916
643	2436	8913
644	2440	8909
645	2443	8905
646	2447	8901
647	2451	8896
648	2454	8891
649	2458	8887
650	2461	8882
651	2465	8878
652	2469	8874
653	2472	8869
654	2476	8865
655	2479	8861
656	2483	8856
657	2487	8852
658	2490	8848
659	2494	8844
660	2498	8840
661	2501	8836
662	2505	8832
663	2509	8827
664	2513	8824
665	2516	8819
666	2520	8815
667	2524	8811
668	2527	8807
669	2531	8803
670	2535	8799
671	2538	8795
672	2542	8791
673	2546	8786
674	2549	8782
675	2553	8778
676	2556	8773
677	2560	8769
678	2564	8765
679	2567	8760
680	2571	8757
681	2575	8752
682	2578	8747
683	2581	8742
684	2585	8737
685	2588	8732
686	2592	8728
687	2596	8724
688	2599	8720
689	2603	8715
690	2607	8711
691	2610	8707
692	2614	8702
693	2617	8698
694	2621	8693
695	2624	8689
696	2628	8685
697	2632	8680
698	2635	8676
699	2639	8671
700	2642	8667
701	2646	8662
702	2649	8658
703	2653	8654
704	2657	8650
705	2660	8645
706	2664	8641
707	2668	8637
708	2671	8633
709	2675	8628
710	2678	8624
711	2682	8619
712	2686	8616
713	2689	8611
714	2693	8607
715	2696	8602
716	2700	8597
717	2703	8592
718	2706	8587
719	2710	8582
720	2713	8577
721	2716	8572
722	2720	8567
723	2723	8562
724	2727	8557
725	2730	8552
726	2733	8547
727	2737	8541
728	2740	8536
729	2743	8532
730	2747	8527
731	2750	8523
732	2754	8518
733	2757	8514
734	2761	8510
735	2765	8506
736	2769	8502
737	2772	8498
738	2776	8494
739	2780	8491
740	2783	8487
741	2787	8483
742	2791	8479
743	2794	8475
744	2798	8470
745	2802	8466
746	2805	8462
747	2809	8458
748	2813	8454
749	2817	8452
750	2821	8448
751	2824	8443
752	2828	8439
753	2831	8434
754	2834	8429
755	2838	8425
756	2841	8419
757	2844	8414
758	2848	8409
759	2851	8405
760	2855	8401
761	2859	8397
762	2862	8393
763	2866	8389
764	2870	8384
765	2873	8380
766	2877	8376
767	2880	8372
768	2884	8368
769	2888	8364
770	2891	8360
771	2895	8356
772	2898	8351
773	2902	8347
774	2905	8342
775	2909	8337
776	2912	8332
777	2916	8328
778	2919	8323
779	2922	8318
780	2926	8313
781	2929	8308
782	2932	8303
783	2936	8298
784	2939	8293
785	2942	8289
786	2946	8285
787	2950	8281
788	2953	8276
789	2957	8272
790	2960	8268
791	2964	8264
792	2967	8260
793	2971	8255
794	2974	8250
795	2978	8245
796	2981	8240
797	2984	8236
798	2988	8231
799	2991	8226
800	2994	8221
801	2998	8217
802	3001	8212
803	3004	8207
804	3008	8202
805	3011	8197
806	3015	8193
807	3018	8189
808	3021	8184
809	3025	8179
810	3028	8174
811	3031	8169
812	3035	8165
813	3038	8160
814	3042	8155
815	3045	8150
816	3048	8146
817	3052	8141
818	3055	8136
819	3058	8132
820	3062	8127
821	3066	8123
822	3069	8120
823	3073	8116
824	3076	8112
825	3080	8108
826	3084	8104
827	3087	8099
828	3091	8094
829	3094	8090
830	3097	8085
831	3101	8080
832	3104	8075
833	3107	8071
834	3111	8066
835	3114	8061
836	3117	8057
837	3121	8052
838	3124	8047
839	3127	8043
840	3131	8038
841	3134	8034
842	3138	8029
843	3141	8025
844	3145	8021
845	3148	8017
846	3152	8012
847	3155	8007
848	3158	8002
849	3162	7998
850	3166	7995
851	3169	7991
852	3173	7986
853	3176	7982
854	3180	7977
855	3183	7974
856	3187	7970
857	3191	7966
858	3194	7962
859	3198	7958
860	3201	7954
861	3205	7950
862	3209	7946
863	3212	7942
864	3217	7940
865	3220	7935
866	3224	7931
867	3227	7927
868	3234	7931
869	3237	7927
870	3241	7923
871	3245	7919
872	3248	7915
873	3252	7911
874	3255	7907
875	3259	7903
876	3263	7899
877	3266	7895
878	3270	7891
879	3274	7887
880	3277	7883
881	3281	7879
882	3284	7875
883	3288	7871
884	3292	7867
885	3295	7863
886	3299	7859
887	3302	7855
888	3306	7850
889	3309	7846
890	3313	7842
891	3316	7838
892	3320	7834
893	3324	7830
894	3327	7826
895	3331	7822
896	3334	7818
897	3338	7814
898	3341	7809
899	3345	7805
900	3348	7801
901	3352	7797
902	3356	7793
903	3359	7789
904	3363	7785
905	3366	7781
906	3370	7777
907	3374	7773
908	3377	7769
909	3381	7765
910	3384	7761
911	3388	7757
912	3391	7753
913	3395	7749
914	3399	7745
915	3402	7741
916	3406	7737
917	3409	7733
918	3413	7729
919	3417	7725
920	3420	7721
921	3424	7717
922	3427	7713
923	3431	7709
924	3435	7705
925	3438	7701
926	3442	7697
927	3445	7693
928	3449	7689
929	3452	7685
930	3456	7681
931	3460	7678
932	3463	7674
933	3467	7670
934	3471	7666
935	3475	7663
936	3478	7659
937	3482	7655
938	3486	7652
939	3490	7649
940	3494	7645
941	3497	7641
942	3501	7638
943	3505	7635
944	3509	7631
945	3513	7628
946	3516	7624
947	3520	7620
948	3524	7616
949	3527	7612
950	3531	7608
951	3535	7604
952	3538	7601
953	3542	7597
954	3546	7594
955	3549	7590
956	3553	7586
957	3557	7582
958	3560	7578
959	3565	7576
960	3569	7572
961	3572	7568
962	3576	7564
963	3579	7561
964	3583	7556
965	3587	7552
966	3590	7549
967	3594	7545
968	3597	7541
969	3601	7537
970	3605	7533
971	3609	7531
972	3613	7527
973	3616	7523
974	3620	7519
975	3624	7515
976	3627	7511
977	3631	7507
978	3634	7503
979	3638	7499
980	3642	7495
981	3645	7491
982	3649	7487
983	3652	7483
984	3656	7479
985	3659	7475
986	3663	7471
987	3667	7467
988	3670	7464
989	3674	7460
990	3678	7456
991	3681	7452
992	3685	7448
993	3689	7444
994	3692	7440
995	3696	7436
996	3699	7432
997	3703	7429
998	3707	7425
999	3710	7421
1000	3714	7417
1001	3718	7413
1002	3721	7409
1003	3725	7405
1004	3728	7401
1005	3732	7397
1006	3735	7393
1007	3739	7389
1008	3742	7385
1009	3745	7380
1010	3749	7376
1011	3752	7372
1012	3756	7367
1013	3759	7363
1014	3763	7360
1015	3767	7356
1016	3770	7352
1017	3774	7348
1018	3777	7344
1019	3781	7340
1020	3785	7336
1021	3788	7333
1022	3792	7329
1023	3796	7326
1024	3800	7322
1025	3804	7319
1026	3807	7315
1027	3812	7313
1028	3816	7309
1029	3820	7306
1030	3824	7303
1031	3828	7300
1032	3832	7298
1033	3836	7295
1034	3840	7291
1035	3844	7288
1036	3848	7285
1037	3853	7283
1038	3857	7279
1039	3861	7277
1040	3865	7274
1041	3870	7272
1042	3874	7269
1043	3878	7267
1044	3882	7263
1045	3886	7260
1046	3890	7257
1047	3894	7254
1048	3898	7250
1049	3902	7247
1050	3906	7244
1051	3910	7241
1052	3914	7237
1053	3918	7234
1054	3922	7231
1055	3926	7227
1056	3929	7224
1057	3933	7220
1058	3937	7216
1059	3940	7212
1060	3944	7208
1061	3947	7204
1062	3951	7200
1063	3955	7196
1064	3958	7192
1065	3962	7189
1066	3966	7186
1067	3970	7182
1068	3973	7178
1069	3977	7174
1070	3981	7170
1071	3984	7166
1072	3988	7162
1073	3991	7158
1074	3995	7154
1075	3999	7151
1076	4002	7146
1077	4006	7142
1078	4009	7138
1079	4013	7135
1080	4017	7131
1081	4021	7129
1082	4025	7125
1083	4028	7121
1084	4032	7117
1085	4036	7113
1086	4039	7109
1087	4043	7105
1088	4046	7101
1089	4050	7097
1090	4054	7093
1091	4057	7090
1092	4061	7086
1093	4065	7082
1094	4068	7078
1095	4072	7074
1096	4075	7070
1097	4079	7066
1098	4082	7062
1099	4086	7058
1100	4089	7054
1101	4093	7050
1102	4097	7046
1103	4100	7042
1104	4104	7038
1105	4107	7034
1106	4111	7030
1107	4114	7025
1108	4117	7021
1109	4121	7017
1110	4125	7013
1111	4128	7009
1112	4132	7005
1113	4135	7002
1114	4139	6997
1115	4142	6993
1116	4145	6989
1117	4150	6986
1118	4153	6982
1119	4157	6978
1120	4160	6974
1121	4164	6970
1122	4168	6966
1123	4172	6963
1124	4175	6959
1125	4179	6956
1126	4183	6952
1127	4188	6950
1128	4191	6946
1129	4195	6943
1130	4199	6939
1131	4203	6935
1132	4206	6931
1133	4210	6928
1134	4214	6924
1135	4219	6922
1136	4222	6918
1137	4226	6915
1138	4230	6911
1139	4233	6907
1140	4237	6904
1141	4241	6900
1142	4244	6896
1143	4249	6894
1144	4253	6890
1145	4257	6887
1146	4260	6883
1147	4264	6879
1148	4268	6875
1149	4271	6871
1150	4275	6867
1151	4278	6863
1152	4282	6859
1153	4285	6856
1154	4289	6852
1155	4293	6848
1156	4296	6844
1157	4300	6840
1158	4303	6836
1159	4307	6832
1160	4311	6828
1161	4314	6824
1162	4318	6820
1163	4321	6816
1164	4325	6813
1165	4329	6809
1166	4332	6805
1167	4336	6801
1168	4339	6797
1169	4343	6793
1170	4346	6789
1171	4350	6785
1172	4353	6781
1173	4357	6777
1174	4361	6773
1175	4364	6769
1176	4368	6765
1177	4371	6761
1178	4374	6756
1179	4378	6752
1180	4381	6748
1181	4384	6744
1182	4388	6740
1183	4391	6735
1184	4394	6731
1185	4398	6727
1186	4401	6722
1187	4405	6718
1188	4408	6714
1189	4412	6710
1190	4415	6706
1191	4419	6702
1192	4422	6698
1193	4425	6694
1194	4429	6690
1195	4432	6686
1196	4436	6682
1197	4440	6678
1198	4443	6674
1199	4447	6670
1200	4450	6666
1201	4454	6663
1202	4458	6659
1203	4461	6655
1204	4465	6651
1205	4468	6647
1206	4471	6643
1207	4475	6638
1208	4478	6634
1209	4482	6630
1210	4485	6626
1211	4489	6622
1212	4492	6618
1213	4496	6614
1214	4499	6610
1215	4502	6606
1216	4506	6602
1217	4509	6597
1218	4513	6593
1219	4516	6589
1220	4520	6586
1221	4523	6582
1222	4527	6578
1223	4530	6573
1224	4534	6569
1225	4537	6565
1226	4540	6561
1227	4544	6556
1228	4547	6552
1229	4550	6548
1230	4554	6544
1231	4557	6540
1232	4560	6536
1233	4564	6532
1234	4568	6528
1235	4571	6524
1236	4575	6520
1237	4579	6517
1238	4582	6513
1239	4586	6509
1240	4589	6505
1241	4593	6501
1242	4597	6498
1243	4600	6494
1244	4604	6490
1245	4607	6486
1246	4611	6482
1247	4614	6478
1248	4618	6474
1249	4621	6470
1250	4625	6467
1251	4629	6462
1252	4632	6458
1253	4635	6454
1254	4639	6450
1255	4643	6447
1256	4647	6443
1257	4650	6440
1258	4654	6436
1259	4658	6433
1260	4662	6429
1261	4666	6426
1262	4670	6423
1263	4674	6420
1264	4678	6416
1265	4681	6412
1266	4686	6410
1267	4690	6406
1268	4693	6402
1269	4697	6398
1270	4701	6395
1271	4704	6391
1272	4708	6387
1273	4712	6383
1274	4715	6380
1275	4719	6376
1276	4723	6373
1277	4727	6369
1278	4731	6366
1279	4734	6362
1280	4738	6359
1281	4742	6355
1282	4746	6352
1283	4750	6348
1284	4754	6344
1285	4757	6341
1286	4761	6337
1287	4765	6333
1288	4768	6330
1289	4772	6326
1290	4776	6322
1291	4780	6319
1292	4783	6315
1293	4787	6311
1294	4791	6308
1295	4794	6304
1296	4798	6300
1297	4802	6297
1298	4806	6293
1299	4809	6289
1300	4813	6286
1301	4817	6282
1302	4821	6279
1303	4824	6275
1304	4828	6271
1305	4832	6267
1306	4835	6264
1307	4839	6260
1308	4843	6256
1309	4847	6253
1310	4851	6249
1311	4854	6246
1312	4859	6243
1313	4863	6240
1314	4867	6236
1315	4871	6233
1316	4875	6230
1317	4879	6226
1318	4883	6223
1319	4887	6220
1320	4891	6216
1321	4894	6212
1322	4898	6209
1323	4902	6206
1324	4906	6202
1325	4910	6199
1326	4914	6196
1327	4918	6192
1328	4922	6189
1329	4926	6185
1330	4932	6185
1331	4936	6182
1332	4940	6178
1333	4946	6177
1334	4951	6175
1335	4955	6172
1336	4959	6169
1337	4963	6165
1338	4967	6162
1339	4971	6158
1340	4975	6155
1341	4980	6153
1342	4985	6150
1343	4988	6147
1344	4992	6143
1345	4996	6140
1346	5000	6136
1347	5004	6132
1348	5008	6129
1349	5013	6127
1350	5017	6123
1351	5020	6120
1352	5024	6116
1353	5028	6112
1354	5032	6109
1355	5036	6105
1356	5039	6102
1357	5043	6098
1358	5047	6095
1359	5051	6091
1360	5054	6087
1361	5058	6083
1362	5061	6079
1363	5065	6075
1364	5068	6071
1365	5072	6067
1366	5075	6063
1367	5079	6059
1368	5082	6055
1369	5086	6051
1370	5089	6047
1371	5093	6043
1372	5096	6039
1373	5100	6035
1374	5103	6031
1375	5107	6027
1376	5111	6025
1377	5115	6021
1378	5119	6017
1379	5122	6013
1380	5127	6011
1381	5131	6007
1382	5134	6003
1383	5138	6000
1384	5142	5996
1385	5146	5992
1386	5149	5988
1387	5153	5985
1388	5157	5981
1389	5161	5978
1390	5165	5974
1391	5168	5970
1392	5172	5967
1393	5176	5963
1394	5180	5960
1395	5184	5956
1396	5188	5953
1397	5192	5949
1398	5195	5945
1399	5199	5942
1400	5202	5938
1401	5207	5935
1402	5210	5931
1403	5214	5927
