iter	MAE
0	28.26681572
1	28.22080068
2	28.17190578
3	28.15044222
4	28.14167359
5	28.10756491
6	28.08810849
7	28.08491826
8	28.06389591
9	28.03608786
10	28.00755416
11	27.95997884
12	27.9311569
13	27.9287452
14	27.89678565
15	27.8804781
16	27.85587915
17	27.8427063
18	27.83219583
19	27.82583048
20	27.81980598
21	27.79530258
22	27.77121928
23	27.75272944
24	27.74584736
25	27.74091565
26	27.73290532
27	27.72591076
28	27.70076511
29	27.69470252
30	27.68819472
31	27.67962164
32	27.6722485
33	27.66692908
34	27.66099636
35	27.6518676
36	27.64648085
37	27.63815721
38	27.62427144
39	27.60927206
40	27.59666938
41	27.58611925
42	27.57685722
43	27.53788659
44	27.52699132
45	27.51503979
46	27.51062448
47	27.50646747
48	27.49011437
49	27.47008718
50	27.46628369
51	27.46201407
52	27.444909
53	27.44016797
54	27.43486965
55	27.43182721
56	27.4005057
57	27.36233626
58	27.35335645
59	27.34965333
60	27.33706388
61	27.31767818
62	27.29130685
63	27.28881424
64	27.2593062
65	27.25286294
66	27.25032404
67	27.2482066
68	27.23689694
69	27.20613142
70	27.18043805
71	27.17246792
72	27.1525537
73	27.1324607
74	27.12646326
75	27.11424157
76	27.11220818
77	27.10986907
78	27.08728628
79	27.08484894
80	27.0568077
81	27.05120375
82	27.04878801
83	27.03206953
84	27.02477195
85	27.02184976
86	27.00408917
87	27.0013207
88	26.97903914
89	26.96377507
90	26.94964347
91	26.92733058
92	26.90795309
93	26.88897051
94	26.87254443
95	26.86916742
96	26.86731146
97	26.85918805
98	26.85415878
99	26.84981923
100	26.84699744
101	26.84525671
102	26.8106981
103	26.79008731
104	26.78371924
105	26.76911018
106	26.76758585
107	26.75806972
108	26.719831
109	26.7150683
110	26.70867371
111	26.69916699
112	26.69652189
113	26.68104068
114	26.67946408
115	26.66664987
116	26.66229179
117	26.65379825
118	26.65218848
119	26.64049272
120	26.63747816
121	26.63606992
122	26.62640909
123	26.60956499
124	26.59433839
125	26.59366475
126	26.58540277
127	26.58469505
128	26.57334117
129	26.55448949
130	26.55063898
131	26.5434869
132	26.54296551
133	26.54091846
134	26.5356167
135	26.53119768
136	26.52861317
137	26.52628165
138	26.51507011
139	26.50561048
140	26.50522589
141	26.5010046
142	26.4921387
143	26.48100573
144	26.472413
145	26.46941734
146	26.46697424
147	26.46250251
148	26.44559546
149	26.44118107
150	26.42823865
151	26.41607888
152	26.41368957
